Index,Body of Size Rank 1 Area,Body of Size Rank 2 Area,Body of Size Rank 3 Area,Body of Size Rank 4 Area,Body of Size Rank 5 Area
152,292452.88,224183.47,112999.414,57078.418,45132.336
153,292506.16,224335.44,112979.53,57076.227,43257.906
154,293365.3,224148.53,113742.734,57097.957,43567.82
155,293430.84,224293.67,113739.42,57113.13,43974.676
156,293436.06,224071.34,113726.8,57124.746,43976.24
157,293270.5,224133.97,113703.766,57117.1,44770.414
158,293282.8,224113.86,113717.73,57109.332,44794.64
159,293194.3,224153.95,113687.25,57127.746,44766.816
160,293293.5,224124.67,113671.91,57124.984,44766.953
161,293314.25,224152.86,113693.67,57135.402,44765.266
162,293395.1,224163.77,113669.766,57146.37,44775.77
163,293398.88,223825.05,113666.43,57143.176,44756.773
164,293328.53,224131.28,113640.86,57145.047,44754.914
165,293302.25,223957.75,113649.72,57153.23,44761.156
166,293242.84,222920.56,113632.05,57170.35,44734.492
167,293161.0,223338.33,113634.24,57151.33,44748.414
168,293200.16,222983.16,114414.55,57157.7,44707.527
169,290800.66,223047.0,114395.18,57162.66,45514.89
170,290876.2,223243.97,114415.18,57164.08,44689.977
171,290892.3,222881.36,114418.08,57149.086,45520.613
172,290896.34,222224.44,114387.875,57164.832,45531.21
173,292603.34,222215.27,114379.27,56368.47,45518.5
174,292519.56,222864.56,114370.11,56357.613,45530.477
175,291553.38,224374.62,113682.44,57706.973,43343.53
176,291778.1,223830.52,113912.45,57921.094,43412.684
177,291825.56,223712.3,113901.21,57870.477,43407.992
178,291015.7,223727.23,113909.46,57891.574,43394.586
179,290885.2,223717.9,113880.77,57892.355,43394.387
180,290969.88,223609.31,113893.29,57888.46,43399.89
181,290951.34,223661.3,113889.336,57889.47,43389.598
182,290912.53,223604.92,113874.37,57889.023,43403.336
183,290913.94,223566.14,113850.625,57878.39,43404.57
184,291008.84,223737.45,113846.64,57869.38,43392.13
185,291027.72,223587.78,113853.22,57895.523,43378.516
186,290997.88,224343.92,113864.5,57070.098,43369.12
187,292265.72,223862.61,112102.36,55449.152,44409.996
188,292360.66,224564.72,112057.24,56208.902,45247.95
189,292303.4,224700.0,112807.71,56199.63,44637.145
190,292301.72,224442.23,112814.92,56196.12,44603.766
191,292223.44,223745.19,112797.96,56231.742,44572.47
192,292933.03,223024.17,111199.945,56202.582,44537.008
193,292980.8,222756.73,112031.516,56184.4,44519.645
194,292394.94,223308.03,113861.96,56975.977,44898.965
195,291868.22,222109.8,113432.03,57223.7,44037.26
196,291966.22,222717.39,114962.945,57235.246,44008.633
197,290369.88,222821.05,114092.15,57215.07,44796.438
198,291294.97,222939.38,114064.625,57187.79,44776.367
